username;password;email;firstname;lastname;city;country;cohort1
ibericogonzalez;2T8i&Fx%;ibericogonzalez@mail.local;Ibérico;Gonzalez;Mercedes;BR;T01
talioclarke;9#Kpc$3T;talioclarke@mail.local;Tálio;Clarke;Floresta;BR;T01
osvaldowarner;7WOc0&#s;osvaldowarner@mail.local;Osvaldo;Warner;Tapejara;BR;T01
aderiolamb;#yd0%DH5;aderiolamb@mail.local;Adério;Lamb;Janiópolis;BR;T01
andreiasdonovan;r$B@5Nz4;andreiasdonovan@mail.local;Andreias;Donovan;Nova Laranjeiras;BR;T01
joaoserrano;Rb0g@4F%;joaoserrano@mail.local;João;Serrano;Rio Negro;BR;T01
odairnichols;%H0eF&1k;odairnichols@mail.local;Odair;Nichols;Sapopema;BR;T01
leonidiomccoy;rW4#Yu@6;leonidiomccoy@mail.local;Leonídio;McCoy;Nova Cantu;BR;T01
pedrinomcgee;&3YmG5@o;pedrinomcgee@mail.local;Pedrino;McGee;Marechal Cândido Rondon;BR;T01
nestorpenn;b4@5&RfY;nestorpenn@mail.local;Nestor;Penn;Irati;BR;T01
marciocrowley;$Gf1c2&E;marciocrowley@mail.local;Márcio;Crowley;Rebouças;BR;T01
leonardoevans;9&cBC1j@;leonardoevans@mail.local;Leonardo;Evans;Santa Inês;BR;T01
anisiochapman;6@au5MT#;anisiochapman@mail.local;Anísio;Chapman;Paranaguá;BR;T01
osoriobailey;4Zi9@#dF;osoriobailey@mail.local;Osório;Bailey;Santa Izabel do Oeste;BR;T01
octavianohall;w%CG4#m7;octavianohall@mail.local;Octaviano;Hall;Campo Mourão;BR;T01
celiobanks;pBw#J@39;celiobanks@mail.local;Célio;Banks;Flórida;BR;T01
nataothomson;0$5teBW%;nataothomson@mail.local;Natão;Thomson;Guaraci;BR;T01
munirmurray;R1#P3@jk;munirmurray@mail.local;Munir;Murray;Rio Bonito do Iguaçu;BR;T01
isaiasslattery;s0$g3UI#;isaiasslattery@mail.local;Isaías;Slattery;Joaquim Távora;BR;T01
rogeriomccain;I@&W2vz3;rogeriomccain@mail.local;Rogério;McCain;Lindoeste;BR;T01
dariostanley;pR6@&K9w;dariostanley@mail.local;Dário;Stanley;Maria Helena;BR;T01
santanacook;1&b$Xl2Q;santanacook@mail.local;Santana;Cook;Santa Lúcia;BR;T01
jocelinopugh;$&3LSu8e;jocelinopugh@mail.local;Jocelino;Pugh;Goioerê;BR;T01
cilioduckworth;wC$u90%Q;cilioduckworth@mail.local;Cílio;Duckworth;Pitanga;BR;T01
amavelmurdock;%#7rGBz0;amavelmurdock@mail.local;Amável;Murdock;Carlópolis;BR;T01
verdipritchard;2$1RwM@r;verdipritchard@mail.local;Verdi;Pritchard;Santa Isabel do Ivaí;BR;T01
gilbertomorris;I%84Z&xa;gilbertomorris@mail.local;Gilberto;Morris;Vitorino;BR;T01
rolimoreno;4R@Kd1#i;rolimoreno@mail.local;Roli;Moreno;Araruna;BR;T01
otaciliogunn;#8%l0RBf;otaciliogunn@mail.local;Otacílio;Gunn;Pitanga;BR;T01
onildodempsey;4wN$@rM2;onildodempsey@mail.local;Onildo;Dempsey;Balsa Nova;BR;T01
jabimwest;yG&3$9oY;jabimwest@mail.local;Jabim;West;Toledo;BR;T01
gomesalvarez;6#Wvn@D3;gomesalvarez@mail.local;Gomes;Alvarez;Bom Jesus do Sul;BR;T01
guimarhull;D$7nx1G@;guimarhull@mail.local;Guimar;Hull;Altônia;BR;T01
marolocarpenter;$Hw&8Du3;marolocarpenter@mail.local;Marolo;Carpenter;Japira;BR;T01
muciomolloyirish;h0VA5$@r;muciomolloyirish@mail.local;Múcio;Molloy Irish;Marumbi;BR;T01
denerlarsen;grID$10@;denerlarsen@mail.local;Dener;Larsen;Floresta;BR;T01
elsiotrujillo;3$jSh#7A;elsiotrujillo@mail.local;Élsio;Trujillo;Icaraíma;BR;T01
parcidioreyes;I@%bA31n;parcidioreyes@mail.local;Parcidio;Reyes;Morretes;BR;T01
anisiokirkland;2Fn3N%#j;anisiokirkland@mail.local;Anísio;Kirkland;Pontal do Paraná;BR;T01
elioenaiflores;A#o&6E4x;elioenaiflores@mail.local;Elioenai;Flores;Anahy;BR;T01
hermesdaly;3@0yWTd%;hermesdaly@mail.local;Hermes;Daly;Saudade do Iguaçu;BR;T01
neutonhouston;8&6kWd#O;neutonhouston@mail.local;Nêuton;Houston;São João do Caiuá;BR;T01
aldersharpe;bN&q2#1Y;aldersharpe@mail.local;Alder;Sharpe;Ramilândia;BR;T01
olivarhudson;UN%$8jm5;olivarhudson@mail.local;Olivar;Hudson;Tapira;BR;T01
erciliokoenig;R%n7&0vH;erciliokoenig@mail.local;Ercílio;Koenig;Ipiranga;BR;T01
clemenciotierney;7X&$Plf3;clemenciotierney@mail.local;Clemêncio;Tierney;Toledo;BR;T01
juvenalscott;F@3&Ait8;juvenalscott@mail.local;Juvenal;Scott;Balsa Nova;BR;T01
teodosiorichardson;&TB57lx%;teodosiorichardson@mail.local;Teodósio;Richardson;Nova Londrina;BR;T01
leofarrell;&e%WxS09;leofarrell@mail.local;Leo;Farrell;Quitandinha;BR;T01
axelschmitt;c#%Y34bN;axelschmitt@mail.local;Axel;Schmitt;Kaloré;BR;T01
galianohastings;jg2%D8N@;galianohastings@mail.local;Galiano;Hastings;Quitandinha;BR;T01
justinomonaghan;VG%$y6m5;justinomonaghan@mail.local;Justino;Monaghan;Ribeirão Claro;BR;T01
joriopowell;%9Lvi6Y$;joriopowell@mail.local;Jório;Powell;Itaperuçu;BR;T01
reginaldohutchison;&9KdD#5l;reginaldohutchison@mail.local;Reginaldo;Hutchison;Kaloré;BR;T01
jonineal;w4#Gb%7O;jonineal@mail.local;Jóni;Neal;Borrazópolis;BR;T01
maritohutchinson;N#w$4z5O;maritohutchinson@mail.local;Marito;Hutchinson;Grandes Rios;BR;T01
ambrosioduffy;0sDzM#2%;ambrosioduffy@mail.local;Ambrósio;Duffy;Sertanópolis;BR;T01
alcibiadesmckinney;2d@7ZA#i;alcibiadesmckinney@mail.local;Alcibíades;McKinney;Umuarama;BR;T01
parisatkinson;e2f@#6OE;parisatkinson@mail.local;Páris;Atkinson;Jandaia do Sul;BR;T01
augustomcneil;3U#&dh9B;augustomcneil@mail.local;Augusto;McNeil;Itapejara D´oeste;BR;T01
amosgreene;54w&%KlH;amosgreene@mail.local;Amós;Greene;Altamira do Paraná;BR;T01
isaisawyer;Tr%Gn72$;isaisawyer@mail.local;Isaí;Sawyer;Carlópolis;BR;T01
natalicioheath;i02xQJ#&;natalicioheath@mail.local;Natalício;Heath;São José da Boa Vista;BR;T01
margaridobishop;#y%Pg9R7;margaridobishop@mail.local;Margarido;Bishop;Mallet;BR;T01
evelaciotilley;ZS#60i$s;evelaciotilley@mail.local;Evelácio;Tilley;Piraí do Sul;BR;T01
aureoconrad;@bj2#7OV;aureoconrad@mail.local;Áureo;Conrad;Campo Bonito;BR;T01
verterstokes;Gn@L6y0#;verterstokes@mail.local;Vérter;Stokes;Santa Cruz de Monte Castelo;BR;T01
mircohutchinson;#S1m&z4R;mircohutchinson@mail.local;Mirco;Hutchinson;Nova Olímpia;BR;T01
evenciomacpherson;fzA&W54%;evenciomacpherson@mail.local;Evêncio;MacPherson;Joaquim Távora;BR;T01
danilokennedy;41UMqh&@;danilokennedy@mail.local;Danilo;Kennedy;Mauá da Serra;BR;T01
guidoyates;s7%o$R4P;guidoyates@mail.local;Guido;Yates;Salto do Lontra;BR;T01
deividwheeler;3&7$ahGW;deividwheeler@mail.local;Deivid;Wheeler;Pinhão;BR;T01
ildowade;2T0$Huf&;ildowade@mail.local;Ildo;Wade;Ponta Grossa;BR;T01
romamaclean;5d1V&#xN;romamaclean@mail.local;Romã;MacLean;Tapira;BR;T01
ulisseswelsh;#SNbz7@5;ulisseswelsh@mail.local;Ulisses;Welsh;Santa Helena;BR;T01
alexmcclanahan;$2Uw1&aE;alexmcclanahan@mail.local;Alex;McClanahan;Anahy;BR;T01
baldomerocoleman;#d2Ui$5Z;baldomerocoleman@mail.local;Baldomero;Coleman;Verê;BR;T01
brenomccleary;9yOd#N%3;brenomccleary@mail.local;Breno;McCleary;São Jorge do Ivaí;BR;T01
virgilionelson;yJ&0f9#P;virgilionelson@mail.local;Virgílio;Nelson;São Sebastião da Amoreira;BR;T01
albericorees;0$%xl5FW;albericorees@mail.local;Alberico;Rees;Curiúva;BR;T01
arcelinocruz;4&H@hrG9;arcelinocruz@mail.local;Arcelino;Cruz;Quatro Pontes;BR;T01
clementefry;w&P@xE56;clementefry@mail.local;Clemente;Fry;São Miguel do Iguaçu;BR;T01
amilcarcorcoran;r3Y0g&M$;amilcarcorcoran@mail.local;Amílcar;Corcoran;Carambeí;BR;T01
augustolindsay;kCWv&8@3;augustolindsay@mail.local;Augusto;Lindsay;Guairaçá;BR;T01
antoniostephens;BHq#2d8@;antoniostephens@mail.local;António;Stephens;Astorga;BR;T01
nisiomcneil;LU&a7#9f;nisiomcneil@mail.local;Nísio;McNeil;Cambé;BR;T01
vitorinovelez;d@8WQp&4;vitorinovelez@mail.local;Vitorino;Velez;Cerro Azul;BR;T01
jordaomay;@fC7%K0u;jordaomay@mail.local;Jordão;May;Mandaguaçu;BR;T01
russelschroeder;G4$mu%5V;russelschroeder@mail.local;Russel;Schroeder;Jundiaí do Sul;BR;T01
micaelquinlan;1O&9jWm#;micaelquinlan@mail.local;Micael;Quinlan;Flórida;BR;T01
idelsomcelroy;#hX5g%I4;idelsomcelroy@mail.local;Idelso;McElroy;Lobato;BR;T01
henriquerossi;D3q%8$Pu;henriquerossi@mail.local;Henrique;Rossi;Arapuã;BR;T01
sisiniogibbs;@#7l9nSK;sisiniogibbs@mail.local;Sisínio;Gibbs;Ivaí;BR;T01
firmomueller;JnV3@$u2;firmomueller@mail.local;Firmo;Mueller;Marmeleiro;BR;T01
durvalinomay;42lk%U@K;durvalinomay@mail.local;Durvalino;May;Santa Cecília do Pavão;BR;T01
belchiorhealy;Nx%X@b16;belchiorhealy@mail.local;Belchior;Healy;Santa Mariana;BR;T01
xaviermorrow;c#pIL$78;xaviermorrow@mail.local;Xavier;Morrow;Uniflor;BR;T01
nasserwilkinson;5@I#yd2P;nasserwilkinson@mail.local;Nasser;Wilkinson;Joaquim Távora;BR;T01
abnersampson;q1C$2iZ%;abnersampson@mail.local;Abner;Sampson;Santa Mônica;BR;T01
filipemoreno;5%gXv1&Q;filipemoreno@mail.local;Filipe;Moreno;Quatro Pontes;BR;T01
sebastiaocoleman;Uw0&P9#v;sebastiaocoleman@mail.local;Sebastião;Coleman;Fênix;BR;T01
tudebryant;$J%Sl21m;tudebryant@mail.local;Tude;Bryant;Cianorte;BR;T01
alvaromilne;1q&$k8EC;alvaromilne@mail.local;Álvaro;Milne;Paranapoema;BR;T01
aliviokearns;&l#Y2U0b;aliviokearns@mail.local;Alívio;Kearns;Vitorino;BR;T01
enesdrew;WR#v8@7w;enesdrew@mail.local;Enes;Drew;Rolândia;BR;T01
adeodatokoenig;%s9Dy1#K;adeodatokoenig@mail.local;Adeodato;Koenig;Maripá;BR;T01
roquemalone;3u$%DB1f;roquemalone@mail.local;Roque;Malone;Matelândia;BR;T01
herculanogonzalez;5#p1X$kB;herculanogonzalez@mail.local;Herculano;Gonzalez;Santo Inácio;BR;T01
diogonicholson;p1G@6wP&;diogonicholson@mail.local;Diogo;Nicholson;Piên;BR;T01
egilvaughan;y2d#@TG5;egilvaughan@mail.local;Egil;Vaughan;Paranaguá;BR;T01
soeiroford;#p@xG51N;soeiroford@mail.local;Soeiro;Ford;Conselheiro Mairinck;BR;T01
austrelinohoffman;75#%TEbg;austrelinohoffman@mail.local;Austrelino;Hoffman;Ubiratã;BR;T01
salimcallister;5#@AquK7;salimcallister@mail.local;Sáli;McAllister;Cornélio Procópio;BR;T01
abraimfitzpatrick;$3gc2A&T;abraimfitzpatrick@mail.local;Abraim;Fitzpatrick;Boa Ventura de São Roque;BR;T01
emausmckee;c9o@8%KV;emausmckee@mail.local;Emaús;McKee;Bandeirantes;BR;T01
ercilioramsey;#35r&MRq;ercilioramsey@mail.local;Ercílio;Ramsey;Maringá;BR;T01
delfimpuckett;j8q6L@%X;delfimpuckett@mail.local;Delfim;Puckett;Tuneiras do Oeste;BR;T01
arquiminioruiz;@y$oW31K;arquiminioruiz@mail.local;Arquimínio;Ruiz;Rio Branco do Sul;BR;T01
livramentopadilla;zP6e&$9Q;livramentopadilla@mail.local;Livramento;Padilla;Ramilândia;BR;T01
celsiorussell;7Zw1&%Pd;celsiorussell@mail.local;Célsio;Russell;Terra Rica;BR;T01
laertesmcguire;8P#$Bi7q;laertesmcguire@mail.local;Laertes;McGuire;Pato Bragado;BR;T01
everaldotemple;&4sNU7#e;everaldotemple@mail.local;Everaldo;Temple;Guaporema;BR;T01
hebersalazar;FZ37j&#x;hebersalazar@mail.local;Héber;Salazar;Lapa;BR;T01
